client_id_location_id,operational_start_date,latitude,longitude,state,region,city,zip,cohort,cbsa_id,cbsa_name,h3_id
coast2coast_1,2024-08-20,27.446595,-82.474166,FL,South,Bradenton,34203,young,35840,"North Port-Sarasota-Bradenton, FL",88441e631bfffff
cosmicexpress_1,2024-06-06,29.563413,-97.942892,TX,South,Seguin,78155,young,41700,"San Antonio-New Braunfels, TX",88489c412dfffff
countrysidecarwash_247470a707c3c8cab837ccc774645b398da8b8daea89cbb086c95b26dd631b4c,2024-01-01,35.5028538,-119.274357,CA,West,SHAFTER,93263-2156,young,12540,"Bakersfield, CA",8829ac6b37fffff
countrysidecarwash_811335d3c595cbf7a66cc687ca2b16163625777e0d0e8fa07a4f13894a291665,2024-01-01,35.146132,-119.4703459,CA,West,TAFT,93268,young,12540,"Bakersfield, CA",8829ac09c3fffff
crownamerica_1,2024-01-10,33.859779,-118.126279,CA,West,Lakewood,90712,young,31080,"Los Angeles-Long Beach-Anaheim, CA",8829a56853fffff
deepcleancarwash_1,2024-02-01,32.1384443,-81.3176351,GA,South,Bloomingdale,31302,young,42340,"Savannah, GA",8844d51205fffff
dinoclean_1,2024-04-30,33.1462647,-96.8040187,TX,South,Frisco,75034,young,19100,"Dallas-Fort Worth-Arlington, TX",8826c80dd7fffff
dinodashwash_4,2024-08-27,37.144259,-113.458937,UT,West,Washington,84780,young,41100,"St. George, UT",8829957095fffff
dirtydogscarwash_962bc1d43753856a53059737f6b739f924315a1d6c9b6334c6ff32b573b981cd,2024-01-01,28.1202427,-80.7004707,FL,South,MELBOURNE,32934-7217,young,37340,"Palm Bay-Melbourne-Titusville, FL",8844a821bdfffff
dirtydogscarwash_c25c84e09a2e04574ad7d7111d5c526e587b43e58a76dee7fa0723aec8082540,2024-01-01,30.224516,-81.552353,FL,South,BROOKSVILLE,34601,young,27260,"Jacksonville, FL",8844f055cbfffff
dirtydogscarwash_ca31ad46a37c09ee0b4bdbb8135d12e4bcfb5cb2741e8a54d24c26bf89ac1db7,2024-01-01,28.330282,-82.699845,FL,South,PORT RICHEY,34668,young,45300,"Tampa-St. Petersburg-Clearwater, FL",88441aa8a7fffff
