client_id_location_id,operational_start_date,latitude,longitude,state,region,city,zip,cohort,cbsa_id,cbsa_name,h3_id
thoroughbred_27,2024-11-19,38.33967,-82.9436302,KY,South,Grayson,41143,young,26580,"Huntington-Ashland, WV-KY-OH (nearest)",882a9ea2e9fffff
thoroughbred_28,2024-11-06,43.223406,-123.347571,OR,West,Roseburg,97470,young,40700,"Roseburg, OR",8828187903fffff
tigerwash_1,2024-03-12,38.0359448,-78.4611265,VA,South,Charlottesville,22901,young,16820,"Charlottesville, VA",882a8c10a1fffff
tigerwash_3,2024-09-10,38.2328398,-78.3700792,VA,South,Ruckersville,22968,young,16820,"Charlottesville, VA",882a8c8847fffff
tiptopcarwash_1,2024-10-08,39.9180602,-85.3836432,IN,Midwest,New Castle,47362,young,35220,"New Castle, IN",882a92019bfffff
titusexpress_1,2024-08-12,29.3242967,-96.0975585,TX,South,Wharton,77488,young,20900,"El Campo, TX",8848930835fffff
trushine_8,2024-05-22,36.2926787,-82.4990219,TN,South,Jonesborough,37659,young,27740,"Johnson City, TN",8844d922b5fffff
tsunamicarwash_10,2024-01-25,42.988654,-88.232968,WI,Midwest,Waukesha,53189,young,33340,"Milwaukee-Waukesha-West Allis, WI",88275d6089fffff
tsunamicarwash_11,2024-06-04,40.4681661,-86.956573,IN,Midwest,West Lafayette,47906,young,29200,"Lafayette-West Lafayette, IN",882660b497fffff
tsunamicarwash_12,2024-05-13,45.119113,-93.262852,MN,Midwest,Spring Lake Park,55432,young,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",88275278bdfffff
tsunamicarwash_13,2024-04-30,45.021885,-93.171377,MN,Midwest,Roseville,55113,young,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",8827526187fffff
tsunamicarwash_16,2024-07-23,43.090759,-87.978454,WI,Midwest,Milwaukee,53216,young,33340,"Milwaukee-Waukesha-West Allis, WI",88275d761bfffff
unclecharlies_1,2024-04-01,34.184053,-84.1454499,GA,South,Cumming,30041,young,12060,"Atlanta-Sandy Springs-Roswell, GA",8844ce921bfffff
unrivaledcarwash_1,2024-09-15,38.29612,-85.55558,KY,South,Louisville,40241,young,31140,"Louisville/Jefferson County, KY-IN",88266d4a3bfffff
vibecarwash_4,2024-07-11,32.962663,-96.737539,TX,South,Richardson,75080,young,19100,"Dallas-Fort Worth-Arlington, TX",8826c82941fffff
